127.0.0.1 - - [25/Nov/2024:08:24:57 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:19 +0700] "OPTIONS /MOST_PPSB_Web/rest/auth/token?_dc=1732498939493 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:21 +0700] "POST /MOST_PPSB_Web/rest/auth/token?_dc=1732498939493 HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:21 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1732498941897&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:23 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1732498941897&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 74252
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:23 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/list?_dc=1732498943384&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:23 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/favourites?_dc=1732498943937&userId=MOSTADMIN&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:24 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/list?_dc=1732498943384&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 128407
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:25 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/favourites?_dc=1732498943937&userId=MOSTADMIN&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:25 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/list?_dc=1732498945254&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:25 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/list?_dc=1732498945254&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 128407
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:25 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/basic/profile?_dc=1732498945769&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:26 +0700] "GET /MOST_PPSB_Web/rest/v1/basic/profile?_dc=1732498945769&page=1&start=0&limit=25 HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:44 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1732498964929&userId=MOSTADMIN&menuId=MPCT121&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:45 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1732498964929&userId=MOSTADMIN&menuId=MPCT121&page=1&start=0&limit=25 HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:45 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1732498965760&code=MT&defaultCheck=Y&gridReference=refCargoManualCtlGeneralTabTotalGrid&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:45 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/cargomanualctl/cargoGeneralComboList?_dc=1732498965784&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:45 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1732498965779&code=MT&defaultCheck=Y&gridReference=refCargoManualCtlGeneralTabRemainGrid&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:45 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1732498965781&code=MT&defaultCheck=Y&gridReference=refCargoManualCtlGenerlTabGrid&page=1&start=0&limit=25 HTTP/1.1" 200 -
