127.0.0.1 - - [10/Dec/2024:08:20:39 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:30:25 +0700] "OPTIONS /MOST_PPSB_Web/rest/auth/checkSession?_dc=1733794225511 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:30:28 +0700] "POST /MOST_PPSB_Web/rest/auth/checkSession?_dc=1733794225511 HTTP/1.1" 500 12051
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:40:54 +0700] "OPTIONS /MOST_PPSB_Web/rest/auth/token?_dc=1733794854874 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:40:55 +0700] "POST /MOST_PPSB_Web/rest/auth/token?_dc=1733794854874 HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:40:55 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1733794855466&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:40:56 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1733794855466&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 74597
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:40:56 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/list?_dc=1733794856729&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:40:56 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/favourites?_dc=1733794856983&userId=MOSTADMIN&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:40:57 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/favourites?_dc=1733794856983&userId=MOSTADMIN&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:40:57 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/list?_dc=1733794857397&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
