127.0.0.1 - - [08/Jan/2025:08:35:29 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:39:34 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/auth/token?_dc=1736300374341 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:39:35 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/auth/token?_dc=1736300375691 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:39:36 +0700] "POST /MOST_MMC_JPB_Web/rest/auth/token?_dc=1736300375691 HTTP/1.1" 200 2003
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:39:36 +0700] "POST /MOST_MMC_JPB_Web/rest/auth/token?_dc=1736300374341 HTTP/1.1" 200 2003
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:39:37 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1736300376962&userId=KSPTARSYAD&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:39:39 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1736300376962&userId=KSPTARSYAD&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 75287
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:39:39 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/list?_dc=1736300379255&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:39:39 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/favourites?_dc=1736300379804&userId=KSPTARSYAD&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:39:40 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/list?_dc=1736300379255&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 131138
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:39:40 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/favourites?_dc=1736300379804&userId=KSPTARSYAD&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:39:40 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/list?_dc=1736300380734&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:39:41 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/list?_dc=1736300380734&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 131138
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:39:41 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/basic/profile?_dc=1736300381256&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:39:41 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/basic/profile?_dc=1736300381256&page=1&start=0&limit=25 HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:08 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1736300648026&userId=KSPTARSYAD&menuId=MPDM108&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:08 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1736300648026&userId=KSPTARSYAD&menuId=MPDM108&page=1&start=0&limit=25 HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:09 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/columnsetting/searchItems?_dc=1736300649008&code=MT&defaultCheck=Y&gridReference=refPermitCertificateUploadGrid&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:09 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/columnsetting/searchItems?_dc=1736300649010&code=MT&defaultCheck=Y&gridReference=refTruckAssignmentGrid&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:09 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1736300649012&userId=KSPTARSYAD&menuId=MPDM108&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:09 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/columnsetting/searchItems?_dc=1736300649010&code=MT&defaultCheck=Y&gridReference=refTruckAssignmentGrid&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:09 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/columnsetting/searchItems?_dc=1736300649008&code=MT&defaultCheck=Y&gridReference=refPermitCertificateUploadGrid&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:09 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1736300649012&userId=KSPTARSYAD&menuId=MPDM108&page=1&start=0&limit=25 HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:25 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/popup/shipcallnopopup?_dc=1736300665614&scn=ASHL&mode=textfield&page=1&start=0&limit=25 HTTP/1.1" 200 -
