127.0.0.1 - - [03/Feb/2025:08:16:25 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:18:17 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/auth/checkSession?_dc=1738545497595 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:18:19 +0700] "POST /MOST_MMC_JPB_Web/rest/auth/checkSession?_dc=1738545497595 HTTP/1.1" 500 12043
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:18:21 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/auth/token?_dc=1738545501670 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:18:22 +0700] "POST /MOST_MMC_JPB_Web/rest/auth/token?_dc=1738545501670 HTTP/1.1" 200 1982
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:18:22 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1738545502679&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:18:25 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1738545502679&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 75287
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:18:25 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/list?_dc=1738545505370&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:18:25 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/commonCode/alertlist?_dc=1738545505375&userId=MOSTADMIN&userType=I&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:18:25 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/favourites?_dc=1738545505684&userId=MOSTADMIN&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:18:26 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/list?_dc=1738545505370&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 131138
